country,continent,year,life_exp,hdi_index,co2_consump,gdp,services,Suicide_mortality_rate(per 100000),income_Level,Country_Code,Unemployment_Rate
Afghanistan,Asia,2000,54.7,0.35,0.037,339.5,24.7,4.9,Low income,AFG,10.81
Afghanistan,Asia,2001,54.8,0.353,0.0376,339.5,24.7,5.0,Low income,AFG,10.81
Afghanistan,Asia,2002,55.5,0.384,0.0471,333.0,25.6,5.0,Low income,AFG,11.26
Afghanistan,Asia,2003,56.5,0.393,0.0509,346.0,25.9,5.0,Low income,AFG,11.14
Afghanistan,Asia,2004,57.1,0.409,0.0368,336.0,26.1,5.0,Low income,AFG,10.99
Afghanistan,Asia,2005,57.6,0.418,0.0515,360.0,26.5,5.0,Low income,AFG,11.22
Afghanistan,Asia,2006,58.0,0.429,0.0622,368.0,26.9,4.9,Low income,AFG,11.1
Afghanistan,Asia,2007,58.5,0.447,0.0838,409.0,27.7,4.8,Low income,AFG,11.3
Afghanistan,Asia,2008,59.2,0.447,0.152,415.0,28.2,4.6,Low income,AFG,11.09
Afghanistan,Asia,2009,59.9,0.46,0.238,492.0,29.5,4.4,Low income,AFG,11.31
Afghanistan,Asia,2010,60.5,0.472,0.29,547.0,30.7,4.3,Low income,AFG,11.35
Afghanistan,Asia,2011,61.0,0.477,0.406,533.0,31.7,4.1,Low income,AFG,11.05
Afghanistan,Asia,2012,61.4,0.489,0.345,580.0,32.8,4.0,Low income,AFG,11.34
Afghanistan,Asia,2013,61.9,0.496,0.28,592.0,33.8,4.0,Low income,AFG,11.19
Afghanistan,Asia,2014,61.9,0.5,0.253,588.0,34.8,3.9,Low income,AFG,11.14
Afghanistan,Asia,2015,61.9,0.5,0.262,578.0,35.8,4.0,Low income,AFG,11.13
Afghanistan,Asia,2016,62.0,0.502,0.245,575.0,36.9,4.0,Low income,AFG,11.16
Afghanistan,Asia,2017,62.9,0.506,0.247,576.0,38.0,4.1,Low income,AFG,11.18
Afghanistan,Asia,2018,62.7,0.509,0.254,569.0,38.4,4.1,Low income,AFG,11.15
Albania,Europe,2000,75.4,0.671,0.966,1960.0,34.4,4.9,Upper middle income,ALB,19.03
Albania,Europe,2001,76.0,0.678,1.03,2140.0,35.0,4.5,Upper middle income,ALB,18.58
Albania,Europe,2002,75.9,0.684,1.2,2250.0,35.4,4.6,Upper middle income,ALB,17.9
Albania,Europe,2003,75.6,0.691,1.38,2380.0,35.9,4.8,Upper middle income,ALB,16.99
Albania,Europe,2004,75.8,0.696,1.34,2520.0,36.4,4.8,Upper middle income,ALB,16.31
Albania,Europe,2005,76.2,0.706,1.38,2680.0,36.9,7.5,Upper middle income,ALB,15.97
Albania,Europe,2006,76.9,0.713,1.27,2850.0,37.2,7.8,Upper middle income,ALB,15.63
Albania,Europe,2007,77.5,0.722,1.29,3050.0,37.5,8.1,Upper middle income,ALB,15.97
Albania,Europe,2008,77.6,0.728,1.46,3300.0,37.6,8.2,Upper middle income,ALB,13.06
Albania,Europe,2009,78.0,0.733,1.47,3430.0,36.0,8.1,Upper middle income,ALB,13.67
Albania,Europe,2010,78.1,0.745,1.56,3580.0,37.3,7.8,Upper middle income,ALB,14.09
Albania,Europe,2011,78.1,0.764,1.79,3680.0,35.7,7.9,Upper middle income,ALB,13.48
Albania,Europe,2012,78.2,0.775,1.69,3740.0,36.7,5.2,Upper middle income,ALB,13.38
Albania,Europe,2013,78.3,0.782,1.69,3780.0,38.9,5.3,Upper middle income,ALB,15.87
Albania,Europe,2014,78.2,0.787,1.9,3860.0,40.0,5.0,Upper middle income,ALB,18.05
Albania,Europe,2015,78.1,0.788,1.6,3950.0,40.1,4.8,Upper middle income,ALB,17.19
Albania,Europe,2016,78.2,0.788,1.57,4090.0,40.6,4.7,Upper middle income,ALB,15.42
Albania,Europe,2017,78.3,0.79,1.61,4250.0,42.5,4.7,Upper middle income,ALB,13.62
Albania,Europe,2018,78.4,0.792,1.59,4430.0,43.0,4.5,Upper middle income,ALB,12.3
Algeria,Africa,2000,71.0,0.637,2.82,3110.0,52.8,4.5,Lower middle income,DZA,29.77
